References,Value,Footprint,SPN,SPR
C2 C4 C5 C8,0.1uF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C14663,LCSC
C6 C7 C9,1.0uF 25V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C29936,LCSC
C1 C3,NFM21PS106B0J3D,NFM21PS106B0J3D_v2,C118986,LCSC
FB1,MPZ2012S102AT000,805,C76817,LCSC
IC1,AD5675RBRUZ,TSSOP-20_4.4x6.5mm_P0.65mm,,
IC2,ISO1541DR,SOIC-8_3.9x4.9mm_P1.27mm,C143028,LCSC
J1,Conn_01x04_MountingPin,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,,
J2,Conn_01x10_Male,PinHeader_1x10_P2.54mm_Vertical,C89120,LCSC
J3,Phoenix 1711725,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,-,-
JP1 JP2 JP3 JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,
R1,2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C22977,LCSC
U1,LP5907MFX-3.3,SOT-23-5,C80670,LCSC