Reference, Quantity, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Description, Manufacturer_Name, Supplier_Name, LCSC, MANUFACTURER, PARTREV, STANDARD, MPN2
C1 ,1,"4.7uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","-","CL32B475KBUYNNE","-","-","-","","","","","","","",""
C2 C3 ,2,"10uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","-","EMK325B7106KN-T","-","-","-","","","","C13585","","","",""
C4 ,1,"330uF 35V","Capacitor_SMD:C_Elec_10x10.2","~","-","VE-331M1VTR-1010S","-","-","-","","","","C134522","","","","UUX1A331MNL1GS"
C5 C6 ,2,"CP","0my_footprints:C_Radial_D21.5mm_H8mm_P5.00mm","~","-","DB-5R5D155T","-","-","-","","","","","","","",""
C7 ,1,"100uF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","-","CL32A107MQVNNNE","-","-","-","","","","C49066","","","",""
D2 D1 D3 D4 ,4,"BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","-","BAT60AE6327","-","-","-","","","","","","","",""
F1 ,1,"SMD0805-100","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","-","0805L010/24YR","-","-","-","","","","C70061","","","",""
FL3 FL2 ,2,"SRF0905-471Y","Filter:Filter_Bourns_SRF0905_6.0x9.2mm","~","-","SRF0905-471Y","-","-","-","","","","","","","",""
FL4 FL5 ,2,"Bnx029-01","0my_footprints:BNX025H01B","http://www.murata.com/en-us/api/pdfdownloadapi?cate=&amp;partno=BNX029-01#","-","Bnx029-01L","-","-","-","SMD Block Type EMIFIL, EMI Filter Circuits 6.3V 15A 12.1x9.1mm 15KHz-1GHz:35dB min","Murata Electronics","RS","","","","",""
J1 ,1,"Barrel_Jack_Switch","0my_footprints:CUI_PJ-066A","~","-","PJ-066A","-","-","-","","","","","","","",""
J2 J3 J4 J5 J6 ,5,"Conn_01x02","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~","-","B2B-PH-K-S(LF)(SN)","-","-","-","","","","","","","",""
JP2 JP1 JP4 JP3 ,4,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","-","-","-","-","-","","","","","","","",""
K1 K2 ,2,"3570-1419-054","Relay_THT:Relay_SPST_StandexMeder_SIL_Form1A","https://www.comus-intl.com/wp-content/uploads/2015/01/3570-1419-Series.pdf","-","3570-1419-054","-","-","-","","","","","","","",""
L1 ,1,"4.7uH","Inductor_SMD:L_1008_2520Metric","~","-","SDET25201T-4R7MS","-","-","-","","","","C520141","","","",""
Q1 Q2 ,2,"NUD3105LT1G","Package_TO_SOT_SMD:SOT-23","~","-","NUD3105LT1G","-","-","-","","","","","","","",""
R1 R3 ,2,"15 ohm 2W","Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","~","-","CRM2512-FX-15R0ELF","-","-","-","","","","","","","",""
R2 ,1,"1K","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","-","0603WAF1001T5E","-","-","-","","","","C21190","","","",""
RV1 ,1,"S20K30","Varistor:RV_Disc_D21.5mm_W4.9mm_P10mm","~","-","S20K30","-","-","-","","","","","","","",""
U1 ,1,"PDQE10-Q24-D5-D","0my_footprints:CONV_PDQE10-Q24-D5-D","","-","PDQE10-Q24-D5-D","-","-","-","","","","","CUI Inc","1.0","Manufacturer Recommendations",""