Comment,Designator,MPN,LCSC
100nF,"C1, ",CC0603KRX7R9BB104,C14663
100uF,"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, ",CL31A107MQHNNNE,C15008
Ferrite_Bead,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, ",MMZ2012Y202BT000,C76811
Conn_01x04,"J1, ",JST_SH_BM04B-SRSS-TB,
Conn_Coaxial,"J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, ",,
10K 0.1%,"R1, R2, R3, R4, R5, R6, R7, R8, ",TC0310B1002T5E,C190321
390,"R9, R10, R11, R12, R13, R14, R15, R16, ",0603WAF3900T5E,C23151
4 x 10K ohm,"RN1, RN2, RN3, ",4D03WGJ0103T5E,C29718
TCA9534APWR,"U1, ",TCA9534APWR,C206010
AQY212GSZ,"U2, U3, U4, U5, U6, U7, U8, U9, ",AQY212GSZ,C129283